,name,city,country,iata_code,latitude,longitude,links_count
2571,Deadmans Cay,Dead Man's Cay,Bahamas,LGI,23.179014,-75.093597,4
2572,Matthew Town,Matthew Town,Bahamas,IGA,20.975,-73.666862,4
2573,Rock Sound,Rock Sound,Bahamas,RSD,24.8917,-76.177739,4
2574,South Bimini,Alice Town,Bahamas,BIM,25.699881,-79.264656,4
2575,Treasure Cay,Treasure Cay,Bahamas,TCB,26.745336,-77.391269,4
2576,Spring Point,Spring Point,Bahamas,AXP,22.441828,-73.970858,4
2577,Enrique Malek Intl,David,Panama,DAV,8.391003,-82.434992,4
2578,Tapachula Intl,Tapachula,Mexico,TAP,14.794339,-92.370025,4
2579,Licenciado Y Gen Ignacio Lopez Rayon,Uruapan,Mexico,UPN,19.396692,-102.039056,4
2580,Piedras Negras Intl,Piedras Negras,Mexico,PDS,28.627394,-100.535211,4
2581,Minatitlan,Minatitlan,Mexico,MTT,18.103419,-94.580681,4
2582,General Servando Canales Intl,Matamoros,Mexico,MAM,25.769894,-97.525311,4
2583,Lazaro Cardenas,Lazard Cardenas,Mexico,LZC,18.001731,-102.220525,4
2584,Plan De Guadalupe Intl,Saltillo,Mexico,SLW,25.549497,-100.928669,4
2585,General Pedro Jose Mendez Intl,Ciudad Victoria,Mexico,CVM,23.703336,-98.956486,4
2586,Ingeniero Alberto Acuna Ongay Intl,Campeche,Mexico,CPE,19.816794,-90.500314,4
2587,North Bay,North Bay,Canada,YYB,46.363611,-79.422778,4
2588,South Caicos,South Caicos,Turks and Caicos Islands,XSC,21.515739,-71.528528,4
2589,Abbotsford,Abbotsford,Canada,YXX,49.025278,-122.360556,4
2590,Cardak,Denizli,Turkey,DNZ,37.785567,29.701297,4
2591,Merzifon,Merzifon,Turkey,MZH,40.829375,35.521992,4
2592,St Gallen Altenrhein,Altenrhein,Switzerland,ACH,47.485033,9.560775,4
2593,Lugano,Lugano,Switzerland,LUG,46.004275,8.910578,4
2594,Satu Mare,Satu Mare,Romania,SUJ,47.703275,22.8857,4
2595,Oradea,Oradea,Romania,OMR,47.025278,21.9025,4
2596,Craiova,Craiova,Romania,CRA,44.318139,23.888611,4
2597,Tautii Magheraus,Baia Mare,Romania,BAY,47.658389,23.470022,4
2598,Sao Jorge,Sao Jorge Island,Portugal,SJZ,38.6655,-28.175817,4
2599,Haifa,Haifa,Israel,HFA,32.809444,35.043056,4
2600,Pardubice,Pardubice,Czech Republic,PED,50.013419,15.738647,4
2601,Bolzano,Bolzano,Italy,BZO,46.460194,11.326383,4
2602,Qikiqtarjuaq,Broughton Island,Canada,YVM,67.545833,-64.031389,4
2603,Debrecen,Debrecen,Hungary,DEB,47.488917,21.615333,4
2604,Alexandros Papadiamantis,Skiathos,Greece,JSI,39.1771,23.503675,4
2605,Ioannina,Ioannina,Greece,IOA,39.696388,20.8225,4
